Candidate,Incumbent,State,Office,District,Stance,Source,URL,Note,Won or Lost their Race ,Dem or Rep State ,The FiveThirtyEight partisan lean of every state
Paul Gosar,Yes,Arizona,Representative,9,Fully denied,"CNN, congressional roll call",https://www.cnn.com/videos/politics/2021/09/27/keilar-paul-gosar-arizona-audit-roll-the-tape-newday-vpx.cnn,,Elected,Biden,7.6
Kari Lake,No,Arizona,Governor,N/A,Fully denied,Arizona PBS,https://youtu.be/zgkoNLPIAc0?t=1054,,Not Elected,Biden,7.6
"Abraham ""Abe"" Hamadeh",No,Arizona,Attorney general,N/A,Fully denied,Arizona Republic,https://www.azcentral.com/story/news/politics/arizona/2022/05/11/arizona-attorney-general-republican-candidates-trump-endorsement-biden-win-election/7376314001/,,Not Elected,Biden,7.6
Mark Finchem,No,Arizona,Secretary of state,N/A,Fully denied,The Guardian,https://www.theguardian.com/us-news/2022/feb/21/mark-finchem-trump-arizona-elections-secretary-of-state,,Not Elected,Biden,7.6
John Boozman,Yes,Arkansas,Senator,N/A,Fully accepted,"KATV (Little Rock, Ark.)",https://katv.com/news/local/sen-john-boozman-wont-protest-electoral-vote-warns-against-undermining-constitution,,Elected,Trump ,31.8
Rick Crawford,Yes,Arkansas,Representative,1,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,,Elected ,Trump ,31.8
French Hill,Yes,Arkansas,Representative,2,Fully accepted,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,,Elected,Trump ,31.8
Steve Womack,Yes,Arkansas,Representative,3,Fully accepted,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,,Elected,Trump ,31.8
Bruce Westerman,Yes,Arkansas,Representative,4,Accepted with reservations,"Supreme Court amicus brief, congressional roll call",https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,,Elected,Trump ,31.8
Sarah Huckabee Sanders,No,Arkansas,Governor,N/A,Raised questions,Arkansas Democrat-Gazette,https://www.arkansasonline.com/news/2022/may/01/in-race-for-arkansas-governor-gop-hopefuls-differ/,,Elected,Trump ,31.8
Tim Griffin,No,Arkansas,Attorney general,N/A,No comment,,,,Elected,Trump ,31.8
John Thurston,Yes,Arkansas,Secretary of state,N/A,Avoided answering,Arkansas Democrat-Gazette,https://www.arkansasonline.com/news/2021/aug/21/tab-for-travel-to-sd-paid-by-state/,,Elected,Trump ,31.8
Mark P. Meuser,No,California,Senator,N/A,Raised questions,Email to FiveThirtyEight,,,Not Elected,Biden,-25.5
Doug LaMalfa,Yes,California,Representative,1,Fully denied,"Redding Record Searchlight, congressional roll call",https://www.redding.com/story/news/2020/11/12/lamalfa-chastised-over-comments-social-media-posts-election/6254041002/,,Elected,Biden,-25.5
Douglas Brower,No,California,Representative,2,No comment,,,,Not Elected,Biden,-25.5
Kevin Kiley,No,California,Representative,3,Raised questions,Sacramento Bee,https://www.sacbee.com/news/politics-government/election/california-elections/article261997845.html,,Elected,Biden,-25.5
Matt Brock,No,California,Representative,4,No comment,,,,Not Elected,Biden,-25.5
Tom McClintock,Yes,California,Representative,5,Accepted with reservations,Facebook,https://archive.ph/Sqt3P,,Elected,Biden,-25.5
Tamika Hamilton,No,California,Representative,6,Fully accepted,Email to FiveThirtyEight,,,Not Elected,Biden,-25.5
Max Semenenko,No,California,Representative,7,Fully accepted,The Sacto Politico,https://www.sactopolitico.com/post/q-a-max-semenenko-ca-7,,Not Elected,Biden,-25.5
Rudy Recile,No,California,Representative,8,No comment,,,,Not Elected,Biden,-25.5
Tom Patti,No,California,Representative,9,No comment,,,,Not Elected,Biden,-25.5
John Dennis,No,California,Representative,11,Fully denied,Twitter,https://archive.ph/9pNjh,,Not Elected,Biden,-25.5
Stephen Slauson,No,California,Representative,12,Fully accepted,Email to FiveThirtyEight,,,Not Elected,Biden,-25.5
John Duarte,No,California,Representative,13,No comment,,,,Elected,Biden,-25.5
Alison Hayden,No,California,Representative,14,Fully denied,"Twitter, email to FiveThirtyEight",https://archive.ph/Ca6KI,,Not Elected,Biden,-25.5
Ritesh Tandon,No,California,Representative,17,Accepted with reservations,Email to FiveThirtyEight,,Previously raised questions,Not Elected,Biden,-25.5
Peter Hernandez,No,California,Representative,18,No comment,,,,Not Elected,Biden,-25.5
Jeff Gorman,No,California,Representative,19,No comment,,,,Not Elected,Biden,-25.5
Kevin McCarthy,Yes,California,Representative,20,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected,Biden,-25.5
Michael Maher,No,California,Representative,21,No comment,,,,Not Elected,Biden,-25.5
David G. Valadao,Yes,California,Representative,22,Fully accepted,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected ,Biden,-25.5
Jay Obernolte,Yes,California,Representative,23,Accepted with reservations,"Obernolte press, email to FiveThirtyEight",https://obernolte.house.gov/media/press-releases/rep-obernolte-statement-impeachment-vote,,Elected,Biden,-25.5
Brad Allen,No,California,Representative,24,No comment,,,,Not Elected,Biden,-25.5
Brian E. Hawkins,No,California,Representative,25,Accepted with reservations,Email to FiveThirtyEight,,,Not Elected,Biden,-25.5
Matt Jacobs,No,California,Representative,26,No comment,,,,Not Elected,Biden,-25.5
Mike Garcia,Yes,California,Representative,27,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected,Biden,-25.5
Wes Hallman,No,California,Representative,28,Accepted with reservations,Email to FiveThirtyEight,,,Not Elected,Biden,-25.5
Daniel Bocic Martinez,No,California,Representative,31,No comment,,,,Not Elected,Biden,-25.5
Lucie Lapointe Volotzky,No,California,Representative,32,No comment,,,,Not Elected,Biden,-25.5
John Mark Porter,No,California,Representative,33,Accepted with reservations,Email to FiveThirtyEight,,,Not Elected,Biden,-25.5
Mike Cargile,No,California,Representative,35,Fully denied,Email to FiveThirtyEight,https://archive.ph/AvXVR,,Not Elected,Biden,-25.5
Joe E. Collins III,No,California,Representative,36,Fully denied,Facts with Fiona podcast,https://anchor.fm/factswithfiona/episodes/Episode-8-Meet-California-Congressional-Candidate-Joe-Collins-e1jd8o9,,Not Elected,Biden,-25.5
Eric J. Ching,No,California,Representative,38,Fully denied,Orange County Register,https://www.ocregister.com/2022/04/18/elections-2022-get-to-know-rep-linda-sanchez-two-more-candidates-in-38th-district-race/,,Not Elected,Biden,-25.5
Aja Smith,No,California,Representative,39,Fully denied,California Globe,https://californiaglobe.com/articles/californians-challenge-bidens-55-electoral-votes-in-court/,,Not Elected,Biden,-25.5
Young Kim,Yes,California,Representative,40,Fully accepted,Email to FiveThirtyEight,,,Elected,Biden,-25.5
Ken Calvert,Yes,California,Representative,41,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected,Biden,-25.5
John Briscoe,No,California,Representative,42,Fully denied,Twitter,https://twitter.com/johnfbriscoe/status/1345808626062041089,,Not Elected,Biden,-25.5
Omar Navarro,No,California,Representative,43,Fully denied,Email to FiveThirtyEight,,,Not Elected,Biden,-25.5
