Candidate,Incumbent,State,Office,District,Stance,Source,URL,Note,Won or Lost their Race ,Dem or Rep State ,The FiveThirtyEight partisan lean of every state
Eric Carlson,No,Illinois,Representative,1,Raised questions,Email to FiveThirtyEight,,,Not Elected,Biden,-13.4
Thomas Lynch,No,Illinois,Representative,2,No comment,,,,Not Elected,Biden,-13.4
Justin Burau,No,Illinois,Representative,3,Accepted with reservations,Email to FiveThirtyEight,,,Not Elected,Biden,-13.4
James Falakos,No,Illinois,Representative,4,Fully denied,Email to FiveThirtyEight,,,Not Elected,Biden,-13.4
Tommy Hanson,No,Illinois,Representative,5,Accepted with reservations,The Daily Herald,https://www.dailyherald.com/news/20220623/gop-congressional-candidate-questions-fairness-of-bidens-win,,Not Elected,Biden,-13.4
Keith Pekau,No,Illinois,Representative,6,Fully accepted,The Daily Herald,https://www.dailyherald.com/news/20220601/some-republicans-in-6th-us-house-race-doubt-biden-won-the-election,,Not Elected,Biden,-13.4
Chris Dargis,No,Illinois,Representative,8,Fully accepted,Shaw Local News Network,https://www.shawlocal.com/news/election/2022/04/30/chris-dargis-congress-8th-district-2022-primary-election-questionnaire/,,Not Elected,Biden,-13.4
"Maxwell ""Max"" Rice",No,Illinois,Representative,9,Avoided answering,Email to FiveThirtyEight,,,Not Elected,Biden,-13.4
Joseph Severino,No,Illinois,Representative,10,No comment,,,,Not Elected,Biden,-13.4
Catalina Lauf,No,Illinois,Representative,11,Accepted with reservations,The Daily Herald,https://www.dailyherald.com/news/20220528/catalina-lauf-2022-candidate-for-11th-congressional-district,,Not Elected,Biden,-13.4
Mike Bost,Yes,Illinois,Representative,12,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,,Elected,Biden,-13.4
Regan Deering,No,Illinois,Representative,13,Accepted with reservations,The State Journal-Register,https://www.sj-r.com/story/news/politics/elections/state/2022/06/08/13-th-congressional-district-hopefuls-discuss-economy-springfield-forum/10004515002/,,Not Elected,Biden,-13.4
Scott R. Gryder,No,Illinois,Representative,14,Fully accepted,Email to FiveThirtyEight,,,Not Elected,Biden,-13.4
Mary Miller,Yes,Illinois,Representative,15,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,,Elected,Biden,-13.4
Darin LaHood,Yes,Illinois,Representative,16,Accepted with reservations,"Supreme Court amicus brief, congressional roll call",https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected,Biden,-13.4
Esther Joy King,No,Illinois,Representative,17,No comment,,,,Not Elected,Biden,-13.4
Darren Bailey,No,Illinois,Governor,N/A,Raised questions,Twitter,https://archive.ph/wip/0It5S,,Not Elected,Biden,-13.4
Thomas G. DeVore,No,Illinois,Attorney general,N/A,Accepted with reservations,Chicago Sun-Times,https://chicago.suntimes.com/elections/2022/6/15/23170297/illinois-attorney-general-primary-republican-tom-devore-steve-kim-david-shestokas-kwame-raoul,,Not Elected,Biden,-13.4
Dan Brady,No,Illinois,Secretary of state,N/A,Accepted with reservations,"Email to FiveThirtyEight, Chicago Tribune",https://www.chicagotribune.com/politics/ct-illinois-secretary-of-state-republican-primary-20220609-yxqvsfxg4vd35gy6y7wnknrp54-story.html,,Not Elected,Biden,-13.4
Todd Young,Yes,Indiana,Senator,N/A,Fully accepted,Congressional roll call,https://www.senate.gov/legislative/LIS/roll_call_votes/vote1171/vote_117_1_00001.htm,,Elected ,Trump ,20
Jennifer-Ruth Green,No,Indiana,Representative,1,No comment,,,,Not Elected,Trump ,20
Rudolph Yakym,No,Indiana,Representative,2,No comment,,,,Elected,Trump ,20
Jim Banks,Yes,Indiana,Representative,3,Accepted with reservations,"PBS, The Daily Beast, congressional roll call",https://www.pbs.org/newshour/show/rep-banks-on-republican-opposition-to-the-jan-6-committees-findings,,Elected ,Trump ,20
Jim Baird,Yes,Indiana,Representative,4,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected ,Trump ,20
Victoria Spartz,Yes,Indiana,Representative,5,Fully accepted,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2022 ,,Elected ,Trump ,20
Greg Pence,Yes,Indiana,Representative,6,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2022 ,,Elected,Trump ,20
Angela Grabovsky,No,Indiana,Representative,7,No comment,,,,Not Elected,Trump ,20
Larry D. Bucshon,Yes,Indiana,Representative,8,Fully accepted,"Courier & Press, congressional roll call",https://www.courierpress.com/story/news/2021/01/07/where-rep-larry-bucshon-during-capitol-building-threat/6580793002/,,Elected ,Trump ,20
Erin Houchin,No,Indiana,Representative,9,Raised questions,The Statehouse File,https://www.thestatehousefile.com/politics/elections/end-of-legislative-session-kills-bill-aimed-at-changing-absentee-voting-rules/article_c38e2211-e224-5cc2-b3a1-5ab85835748c.html,,Elected,Trump ,20
Diego Morales,No,Indiana,Secretary of state,N/A,Accepted with reservations,Indianapolis Business Journal,https://www.ibj.com/articles/hot-race-for-secretary-of-state-to-enliven-gop-state-convention,,Elected ,Trump ,20
Chuck Grassley,Yes,Iowa,Senator,N/A,Fully accepted,"Congressional roll call, Associated Press",https://apnews.com/article/donald-trump-united-states-kim-reynolds-des-moines-election-2020-e9f1f5ab60821499554b57dfc8cab778,,Elected,Trump ,9.7
Mariannette Miller-Meeks,Yes,Iowa,Representative,1,Accepted with reservations,"Congressional roll call, Miller-Meeks press",https://millermeeks.house.gov/media/press-releases/miller-meeks-statement-certification-electoral-college,,Elected,Trump ,9.7
Ashley Hinson,Yes,Iowa,Representative,2,Fully accepted,"Congressional roll call, email to FiveThirtyEight",https://archive.ph/yBUQE,,Elected,Trump ,9.7
Zach Nunn,No,Iowa,Representative,3,No comment,,,,Elected ,Trump ,9.7
Randy Feenstra,Yes,Iowa,Representative,4,Accepted with reservations,"Congressional roll call, Feenstra press, The Gazette",https://www.thegazette.com/government-politics/iowa-gop-leaders-acknowledge-biden-win/,,Elected,Trump ,9.7
Kim Reynolds,Yes,Iowa,Governor,N/A,Accepted with reservations,Iowa Public Radio,https://www.iowapublicradio.org/political-news/2021-01-07/reynolds-condemns-u-s-capitol-violence-does-not-condemn-false-claims-of-election-fraud,,Elected ,Trump ,9.7
Brenna Bird,No,Iowa,Attorney general,N/A,No comment,,,,Elected,Trump ,9.7
Paul D. Pate,Yes,Iowa,Secretary of state,N/A,Fully accepted,Des Moines Register,https://www.desmoinesregister.com/story/news/politics/2022/09/17/iowa-secretary-state-candidates-paul-pate-joel-miller-debate-election-integrity-2022/10399725002/,,Elected,Trump ,9.7
Jerry Moran,Yes,Kansas,Senator,N/A,Fully accepted,Kansas Reflector,https://kansasreflector.com/2020/11/24/u-s-sen-moran-trump-administation-needs-to-offer-transition-briefings-to-biden/,,Elected,Trump ,20.7
Tracey Mann,Yes,Kansas,Representative,1,Fully denied,"Twitter, congressional roll call",https://archive.ph/Orvc1,,Elected,Trump ,20.7
Jake LaTurner,Yes,Kansas,Representative,2,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,,Elected,Trump ,20.7
Amanda L. Adkins,No,Kansas,Representative,3,Fully accepted,"KCUR-FM (Kansas City, Mo.)",https://www.kcur.org/podcast/kansas-city-today/2022-09-07/kansas-congressional-candidate-amanda-adkins,,Not Elected,Trump ,20.7
Ron Estes,Yes,Kansas,Representative,4,Fully denied,"Congressional roll call, Supreme Court amicus brief",https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,,Elected,Trump ,20.7
Derek Schmidt,No,Kansas,Governor,N/A,Raised questions,"Supreme Court amicus brief, Kansas Reflector",https://kansasreflector.com/2022/03/02/derek-schmidt-embraces-integrity-of-kansas-elections-in-audio-clip-from-gop-forum/,,Not Elected,Trump ,20.7
Kris Kobach,No,Kansas,Attorney general,N/A,Fully denied,Kansas Reflector,https://kansasreflector.com/2022/05/31/kris-kobach-files-as-candidate-for-kansas-attorney-general-in-three-candidate-gop-primary/,,Elected ,Trump ,20.7
Scott J. Schwab,Yes,Kansas,Secretary of state,N/A,Fully accepted,Kansas Reflector,https://kansasreflector.com/2020/11/09/as-other-republicans-lied-about-voter-fraud-kansas-secretary-of-state-was-a-voice-of-sanity/,,Elected,Trump ,20.7
Rand Paul,Yes,Kentucky,Senator,N/A,Accepted with reservations,"ABC News, congressional roll call",https://abcnews.go.com/Politics/sen-rand-paul-continues-making-false-claims-2020/story?id=75446712,,Elected,Trump ,27.1
James R. Comer,Yes,Kentucky,Representative,1,Accepted with reservations,"Twitter, congressional roll call",https://twitter.com/repjamescomer/status/1331752181494648832,,Elected ,Trump ,27.1
S. Brett Guthrie,Yes,Kentucky,Representative,2,Fully accepted,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2022 ,,Elected ,Trump ,27.1
Stuart N. Ray,No,Kentucky,Representative,3,Accepted with reservations,Email to FiveThirtyEight,,,Not Elected,Trump ,27.1
Thomas Massie,Yes,Kentucky,Representative,4,Accepted with reservations,Louisville Courier Journal,https://www.courier-journal.com/story/news/politics/2021/01/03/thomas-massie-congress-has-no-authority-influence-election-outcome/4120557001/,,Elected,Trump ,27.1
"Harold ""Hal"" Rogers",Yes,Kentucky,Representative,5,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2022 ,,Elected ,Trump ,27.1
Andy Barr,Yes,Kentucky,Representative,6,Accepted with reservations,Congressional roll call,https://archive.ph/b1O7G,,Elected ,Trump ,27.1
John Kennedy,Yes,Louisiana,Senator,N/A,Raised questions,"WWL-TV (New Orleans, La.)",https://www.wwltv.com/article/news/politics/sen-kennedy-says-he-refused-gop-calls-to-overturn-bidens-win-over-trump/289-48e00f9f-33ab-4e0d-bb7c-d0e1e4691152,,Elected ,Trump ,20.5
Steve Scalise,Yes,Louisiana,Representative,1,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected ,Trump ,20.5
Dan Lux,No,Louisiana,Representative,2,Raised questions,Email to FiveThirtyEight,,,Not Elected,Trump ,20.5
Clay Higgins,Yes,Louisiana,Representative,3,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected,Trump ,20.5
"""Mike"" Johnson",Yes,Louisiana,Representative,4,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected ,Trump ,20.5
Julia Letlow,Yes,Louisiana,Representative,5,No comment,,,,Elected,Trump ,20.5
Garret Graves,Yes,Louisiana,Representative,6,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202111?Date=01%2F06%2F2021,,Elected ,Trump ,20.5
Edwin Thelander,No,Maine,Representative,1,Raised questions,Campaign website,https://archive.ph/2022.05.31-153102/https:/thelanderforcongress.com/issues/,,Not Elected,Biden,-4
Bruce Poliquin,No,Maine,Representative,2,Avoided answering,Maine Public,https://www.mainepublic.org/politics/2022-03-09/bruce-poliquin-wont-say-that-joe-biden-legitimately-won-the-2020-election,,Not Elected,Biden,-4
Paul R. LePage,No,Maine,Governor,N/A,Raised questions,New England Cable News,https://www.necn.com/news/local/lepage-makes-claims-of-voter-fraud-without-firm-evidence-in-push-for-voter-id-laws/2711971/,,Not Elected,Biden,-4
Chris Chaffee,No,Maryland,Senator,N/A,Fully denied,"Facebook, Twitter",https://www.facebook.com/ChrisChaffeeforSENATE/posts/pfbid05e6mSczjRgWRnPB4tQPsQSM9F5jAvASCVb8JqT4STT74naH3o6nnh4BX2EG4JsKWl,,Not Elected,Biden,-25.9
Andy Harris,Yes,Maryland,Representative,1,Fully denied,"Congressional roll call, The Star Democrat",https://www.stardem.com/news/national/andy-harris-still-backs-election-audits-investigations-as-other-republicans-pull-back-after-capitol-lockdowns/article_5c121a78-5177-5742-8c0d-0824854c8a6e.html,,Elected ,Biden,-25.9
Nicolee Ambrose,No,Maryland,Representative,2,Raised questions,Maryland Republican Party Newsletter,,,Not Elected,Biden,-25.9
Yuripzy Morgan,No,Maryland,Representative,3,No comment,,,,Not Elected,Biden,-25.9
Jeff Warner,No,Maryland,Representative,4,No comment,,,,Not Elected,Biden,-25.9
Chris Palombi,No,Maryland,Representative,5,Raised questions,Facebook,https://www.facebook.com/PalombiForCongress/posts/pfbid02kMEufqwMR8AvmCHLNPwcwfnw22Dr5f3keGWg4ejNAZs7xhztH3Vh1cZbgCvwSAV1l,,Not Elected,Biden,-25.9
Neil C. Parrott,No,Maryland,Representative,6,Fully accepted,The Washington Post,https://www.washingtonpost.com/opinions/2022/07/10/maryland-6th-district-primary-endorsement-2022/,,Not Elected,Biden,-25.9
Scott M. Collier,No,Maryland,Representative,7,Fully denied,"Facebook, YouTube",https://www.youtube.com/watch?v=2uXUAbKW6oQ,,Not Elected,Biden,-25.9
Gregory Thomas Coll,No,Maryland,Representative,8,No comment,,,,Not Elected,Biden,-25.9
Dan Cox,No,Maryland,Governor,N/A,Fully denied,Facebook,https://archive.ph/kS4qU,,Not Elected,Biden,-25.9
Michael Anthony Peroutka,No,Maryland,Attorney general,N/A,Raised questions,Campaign video,https://patriots4peroutka.com/blogs/attorney-general-info/what-would-you-do-about-election-integrity-as-attorney-general-of-maryland,,Not Elected,Biden,-25.9
Dean James Martilli,No,Massachusetts,Representative,1,No comment,,,,Not Elected,Biden,-32.6
Jeffrey A. Sossa-Paquette,No,Massachusetts,Representative,2,Fully accepted,Email to ABC News,,,Not Elected,Biden,-32.6
Dean A. Tran,No,Massachusetts,Representative,3,No comment,,,,Not Elected,Biden,-32.6
Caroline Colarusso,No,Massachusetts,Representative,5,Fully denied,Boston Herald,https://www.bostonherald.com/2020/12/08/former-gop-candidates-sue-massachusetts-seeking-to-throw-out-millions-of-mail-in-early-ballots/,,Not Elected,Biden,-32.6
Bob May,No,Massachusetts,Representative,6,No comment,,,,Not Elected,Biden,-32.6
Donnie Dionicio Palmer Jr.,No,Massachusetts,Representative,7,Fully denied,Twitter,https://archive.ph/wip/dIFA0,,Not Elected,Biden,-32.6
Robert G. Burke,No,Massachusetts,Representative,8,No comment,,,,Not Elected,Biden,-32.6
Jesse G. Brown,No,Massachusetts,Representative,9,No comment,,,,Not Elected,Biden,-32.6
Geoff Diehl,No,Massachusetts,Governor,N/A,Fully denied,WGBH-TV (Boston),https://www.wgbh.org/news/politics/2022/08/09/what-the-republican-candidates-for-governor-said-then-and-how-its-going-now,,Not Elected,Biden,-32.6
James R. McMahon III,No,Massachusetts,Attorney general,N/A,No comment,,,,Not Elected,Biden,-32.6
Rayla Campbell,No,Massachusetts,Secretary of state,N/A,Avoided answering,Email to ABC News,,,Not Elected,Biden,-32.6
Jack Bergman,Yes,Michigan,Representative,1,Fully denied,"Traverse City Record Eagle, congressional roll call",https://www.record-eagle.com/news/u-s-rep-jack-bergman-helped-schedule-antrim-lawsuit-forensic-team/article_05fa99c2-bce4-11ec-b878-fbe5ef329f7f.html,,Elected,Biden,1.6
John Moolenaar,Yes,Michigan,Representative,2,Accepted with reservations,"Manistee News Advocate, congressional roll call",https://www.manisteenews.com/news/article/Moolenaar-Norton-contend-for-Michigan-s-2nd-17320482.php,,Elected,Biden,1.6
John Gibbs,No,Michigan,Representative,3,Raised questions,CNN,https://www.cnn.com/2022/06/30/politics/fact-check-john-gibbs-michigan-mathematically-impossible/index.html,,Not Elected,Biden,1.6
Bill Huizenga,Yes,Michigan,Representative,4,Accepted with reservations,"Michigan Live, Supreme Court amicus brief",https://www.mlive.com/politics/2021/01/michigan-gop-congressman-dispels-election-myths-from-constituents-asking-to-oppose-bidens-win.html,,Elected,Biden,1.6
Tim Walberg,Yes,Michigan,Representative,5,Fully denied,"Walberg press, congressional roll call",https://walberg.house.gov/media/press-releases/michigan-republicans-secretary-state-benson-michigans-voter-rolls-need-be,,Elected,Biden,1.6
Whittney Williams,No,Michigan,Representative,6,No comment,,,,Not Elected,Biden,1.6
Tom Barrett,No,Michigan,Representative,7,Raised questions,Detroit Free Press,https://www.freep.com/story/news/politics/elections/2022/09/27/elissa-slotkin-tom-barrett-7th-congressional-district/69509887007/,Previously accepted with reservations,Not Elected,Biden,1.6
Paul Junge,No,Michigan,Representative,8,Fully accepted,The Detroit News,https://www.detroitnews.com/story/news/politics/2022/08/02/paul-junge-matt-seely-miller-michigan-republican-8th-district-primary-congress-kildee/10186005002/,,Not Elected,Biden,1.6
Lisa McClain,Yes,Michigan,Representative,9,Fully denied,"CNN, congressional roll call",https://www.cnn.com/2022/04/04/politics/fact-check-lisa-mcclain-trump-rally-bin-laden-unemployment-wars-biden,,Not Elected,Biden,1.6
John James,No,Michigan,Representative,10,Raised questions,"Michigan Live, Twitter",https://www.mlive.com/politics/2020/11/john-james-casts-doubt-on-michigan-election-integrity-as-state-board-certifies-result.html,,Elected ,Biden,1.6
Mark Ambrose,No,Michigan,Representative,11,Fully accepted,Downtown Newsmagazine,https://www.downtownpublications.com/single-post/u-s-congress-11th-district-republican,,Not Elected,Biden,1.6
Steven Elliott,No,Michigan,Representative,12,No comment,,,,Not Elected,Biden,1.6
Martell D. Bivings,No,Michigan,Representative,13,Fully accepted,Axios,https://www.axios.com/local/detroit/2022/08/08/detroits-last-chance-black-representation,,Not Elected,Biden,1.6
Tudor M. Dixon,No,Michigan,Governor,N/A,Fully denied,"Detroit Free Press, PBS",https://www.freep.com/story/news/politics/elections/2022/07/31/tudor-dixon-shifts-position-stolen-election-fox-tv/10195890002/,,Not Elected,Biden,1.6
Matthew DePerno,No,Michigan,Attorney general,N/A,Fully denied,Michigan Live,https://www.mlive.com/public-interest/2021/07/attorney-accused-of-pushing-false-election-fraud-claims-wants-to-be-michigans-next-attorney-general.html,,Not Elected,Biden,1.6
Kristina Karamo,No,Michigan,Secretary of state,N/A,Fully denied,Detroit Free Press,https://www.freep.com/story/news/politics/2022/05/06/michigan-republican-secretary-state-picks-false-election-claims/9661591002/,,Not Elected,Biden,1.6
Brad Finstad,Yes,Minnesota,Representative,1,Fully accepted,MPR News,https://www.mprnews.org/story/2022/04/29/republicans-battle-to-fill-remainder-of-hagedorn-term,,Elected,Biden,-1.9
Tyler Kistner,No,Minnesota,Representative,2,Fully accepted,Email to FiveThirtyEight,,,Not Elected,Biden,-1.9
Tom Weiler,No,Minnesota,Representative,3,No comment,,,,Not Elected,Biden,-1.9
May Lor Xiong,No,Minnesota,Representative,4,No comment,,,,Not Elected,Biden,-1.9
Cicely Davis,No,Minnesota,Representative,5,No comment,,,,Not Elected,Biden,-1.9
Tom Emmer,Yes,Minnesota,Representative,6,Accepted with reservations,"Congressional roll call, Star Tribune",https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,,Elected ,Biden,-1.9
Michelle Fischbach,Yes,Minnesota,Representative,7,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Elected,Biden,-1.9
Pete Stauber,Yes,Minnesota,Representative,8,Accepted with reservations,"Congressional roll call, Duluth News Tribune",https://clerk.house.gov/Votes/202111?Date=01%2F07%2F2021,,Elected ,Biden,-1.9
Scott Jensen,No,Minnesota,Governor,N/A,Avoided answering,Minnesota Reformer,https://minnesotareformer.com/2021/12/20/5-gop-gubernatorial-candidates-avoid-saying-biden-won-the-presidency/,,Not Elected,Biden,-1.9
Jim Schultz,No,Minnesota,Attorney general,N/A,No comment,,,,Not Elected,Biden,-1.9
Kim Crockett,No,Minnesota,Secretary of state,N/A,Fully denied,Minnesota Reformer,https://minnesotareformer.com/2022/05/25/minnesota-gop-endorses-election-denier-to-oversee-elections/,,Not Elected,Biden,-1.9
Trent Kelly,Yes,Mississippi,Representative,1,Fully denied,"WLOX (Biloxi, Miss.), congressional roll call",https://www.wlox.com/2021/01/07/three-four-miss-congressmen-voted-challenge-presidential-election/,,Elected ,Trump ,20.3
Brian Flowers,No,Mississippi,Representative,2,Fully denied,"WLOX (Biloxi, Miss.)",https://www.wlox.com/2020/11/08/trump-supporters-protest-jackson-stop-steal-presidential-election/,,Not Elected,Trump ,20.3
Michael Guest,Yes,Mississippi,Representative,3,Accepted with reservations,"WLBT (Jackson, Miss.)",https://www.wlbt.com/2021/02/04/conversation-michael-guest-talks-trump-impeachment-marjorie-taylor-greene/,,Elected,Trump ,20.3
Mike Ezell,No,Mississippi,Representative,4,No comment,,,,Elected ,Trump ,20.3
Eric Schmitt,No,Missouri,Senator,N/A,Fully denied,"Missouri Independent, Supreme Court amicus brief",https://missouriindependent.com/2021/09/20/the-big-lie-remains-a-big-part-of-missouri-u-s-senate-race/,,Elected,Trump ,21.2
Andrew Jones,No,Missouri,Representative,1,No comment,,,,Not Elected,Trump ,21.2
Ann Wagner,Yes,Missouri,Representative,2,Fully accepted,St. Louis Post-Dispatch,https://www.stltoday.com/news/local/govt-and-politics/u-s-rep-ann-wagner-breaks-with-other-missouri-republicans-contesting-election-results/article_7d978551-bb1f-566d-8930-8bf8b964b187.html,,Elected,Trump ,21.2
Blaine Luetkemeyer,Yes,Missouri,Representative,3,Fully denied,"Luetkemeyer press, congressional roll call ",https://luetkemeyer.house.gov/news/documentsingle.aspx?DocumentID=400453,,Elected ,Trump ,21.2
Mark Alford,No,Missouri,Representative,4,Raised questions,"Campaign website, KMIZ (Columbia, Mo.)",https://abc17news.com/news/2022/07/15/fourth-district-candidate-interviews-mark-alford/,,Elected,Trump ,21.2
Jacob Turk,No,Missouri,Representative,5,Raised questions,Twitter,https://drive.google.com/file/d/1o4YSOa9vy2wS6tWEFs8bZpVgqw_7ITRE/view,,Not Elected,Trump ,21.2
Sam Graves,Yes,Missouri,Representative,6,Fully denied,"Twitter, congressional roll call ",https://archive.ph/ChXMm,,Elected,Trump ,21.2
Eric Burlison,No,Missouri,Representative,7,Raised questions,Facebook,https://drive.google.com/file/d/11ssVm7fEuT8zt_uhIKCp2TQc9fzA-6vy/view,,Elected ,Trump ,21.2
Jason Smith,Yes,Missouri,Representative,8,Fully denied,"Smith press, congressional roll call",https://jasonsmith.house.gov/newsroom/documentsingle.aspx?DocumentID=3254,,Elected ,Trump ,21.2
Ryan K. Zinke,No,Montana,Representative,1,Raised questions,Billings Gazette,https://billingsgazette.com/western-gop-hopefuls-weigh-in-on-elections/article_b7a30eb4-d288-5a43-9ada-c3675e3d73ef.html,,Elected ,Trump ,20
Matt Rosendale,Yes,Montana,Representative,2,Fully denied,"Congressional roll call, Associated Press",https://apnews.com/article/donald-trump-matt-rosendale-elections-montana-electoral-college-8e6e3fbf0a9e5121a1be357cebff89c9,,Elected,Trump ,20
Mike Flood,Yes,Nebraska,Representative,1,No comment,,,,Elected,Trump ,24.8
Don Bacon,Yes,Nebraska,Representative,2,Fully accepted,"Nebraska Public Media, congressional roll call",https://nebraskapublicmedia.org/de/news/news-articles/rep-don-bacon-on-jan-6-storming-of-capitol-what-happened-that-day-was-wrong/,,Elected ,Trump ,24.8
Adrian Smith,Yes,Nebraska,Representative,3,Accepted with reservations,"Omaha World-Herald, congressional roll call",https://archive.ph/JdM2k,,Elected ,Trump ,24.8
Jim Pillen,No,Nebraska,Governor,N/A,Fully accepted,Omaha World-Herald,https://archive.ph/6s4lW,,Elected ,Trump ,24.8
Mike Hilgers,No,Nebraska,Attorney general,N/A,No comment,,,,Elected ,Trump ,24.8
Bob Evnen,Yes,Nebraska,Secretary of state,N/A,Fully accepted,"The Grand Island Independent, The Nebraska Examiner ",https://archive.ph/CkBmm,,Elected ,Trump ,24.8
Adam Paul Laxalt,No,Nevada,Senator,N/A,Fully denied,Nevada Globe,https://thenevadaglobe.com/congress/in-first-debate-sam-brown-swings-at-laxalt-and-mostly-misses/,,Not Elected,Biden,2.5
Mark Robertson,No,Nevada,Representative,1,Accepted with reservations,Email to FiveThirtyEight,,,Not Elected,Biden,2.5
Mark E. Amodei,Yes,Nevada,Representative,2,Accepted with reservations,"Las Vegas Sun, congressional roll call",https://lasvegassun.com/news/2022/may/11/amodei-faces-stern-challenge-from-perennial-candid/,,Elected ,Biden,2.5
April Becker,No,Nevada,Representative,3,Fully denied,Nevada Independent,https://thenevadaindependent.com/article/2020-election-fraud-conspiracy-theories-remain-central-to-many-republican-campaigns,,Not Elected,Biden,2.5
Sam Peters,No,Nevada,Representative,4,Fully denied,New York Times,https://www.nytimes.com/2021/06/07/us/politics/republican-election-fraud-claims.html,,Not Elected,Biden,2.5
Joe Lombardo,No,Nevada,Governor,N/A,Raised questions,Daily Beast,https://www.thedailybeast.com/gop-candidates-bill-mcswain-and-joe-lombardo-are-boosting-trumps-election-lie,,Elected ,Biden,2.5
Sigal Chattah,No,Nevada,Attorney general,N/A,Accepted with reservations,Email to FiveThirtyEight,,Previously raised questions,Not Elected,Biden,2.5
Jim Marchant,No,Nevada,Secretary of state,N/A,Fully denied,Nevada Independent,https://thenevadaindependent.com/article/in-debates-secretary-of-state-candidates-cast-wildly-different-visions,,Not Elected,Biden,2.5
Donald C. Bolduc,No,New Hampshire,Senator,N/A,Accepted with reservations,Fox News,https://www.foxnews.com/media/new-hampshires-bolduc-backtracks-statements-2020-election-stolen-ahead-midterms,Previously fully denied election,Not Elected,Biden,-0.3
Karoline Leavitt,No,New Hampshire,Representative,1,Fully denied,"WMUR-TV (Manchester, N.H.)",https://www.wmur.com/article/nh-primary-source-leavitt-mowers-huff-brown-respond-to-baxters-challenge-to-support-election-audit/37798054,,Not Elected,Biden,-0.3
Robert Burns,No,New Hampshire,Representative,2,Accepted with reservations,New Hampshire Union Leader,https://sports.yahoo.com/2nd-cd-gop-candidates-spar-225400476.html,,Not Elected,Biden,-0.3
Chris Sununu,Yes,New Hampshire,Governor,N/A,Fully accepted,Email to FiveThirtyEight,,,Elected ,Biden,-0.3
Claire Gustafson,No,New Jersey,Representative,1,No comment,,,,Not Elected,Biden,-12
Jeff Van Drew,Yes,New Jersey,Representative,2,Accepted with reservations,NJ.com,https://www.nj.com/politics/2021/01/nj-rep-van-drew-who-sought-to-overturn-the-election-acknowledges-biden-was-duly-elected.html,,Elected ,Biden,-12
Bob Healey,No,New Jersey,Representative,3,Fully accepted,Email to FiveThirtyEight,,,Not Elected,Biden,-12
Christopher H. Smith,Yes,New Jersey,Representative,4,Accepted with reservations,New Jersey Globe,https://newjerseyglobe.com/congress/chris-smith-votes-to-certify-results-of-2020-presidential-election/,,Elected,Biden,-12
Frank T. Pallotta,No,New Jersey,Representative,5,No comment,,,,Not Elected,Biden,-12
Susan M. Kiley,No,New Jersey,Representative,6,No comment,,,,Not Elected,Biden,-12
Thomas H. Kean Jr.,No,New Jersey,Representative,7,No comment,,,,Elected ,Biden,-12
Marcos Arroyo,No,New Jersey,Representative,8,No comment,,,,Not Elected,Biden,-12
Billy Prempeh,No,New Jersey,Representative,9,Raised questions,Twitter,https://archive.ph/3f5YN,,Not Elected,Biden,-12
David H. Pinckney,No,New Jersey,Representative,10,No comment,,,,Not Elected,Biden,-12
Paul DeGroot,No,New Jersey,Representative,11,Raised questions,Facebook,https://archive.ph/XWrJT,,Not Elected,Biden,-12
Darius Mayfield,No,New Jersey,Representative,12,Fully denied,"Twitter, email to FiveThirtyEight",https://archive.ph/OfP03,,Not Elected,Biden,-12
Michelle Garcia Holmes,No,New Mexico,Representative,1,Raised questions,Twitter,https://archive.ph/xJu6G,,Not Elected,Biden,-7
Yvette Herrell,Yes,New Mexico,Representative,2,Fully denied,Congressional roll call,https://clerk.house.gov/Votes/202110?Date=01%2F06%2F2021,,Not Elected,Biden,-7
Alexis Martinez Johnson,No,New Mexico,Representative,3,No comment,,,,Not Elected,Biden,-7
Mark V. Ronchetti,No,New Mexico,Governor,N/A,Avoided answering,Carlsbad Current Angus,https://www.currentargus.com/story/opinion/columnists/2022/06/15/ronchetti-race-shows-trump-loyalty-is-a-smaller-factor-in-new-mexico/65361144007/,,Not Elected,Biden,-7
